analysis_id,d3zvcm427hw468t
gene_symbol,Tbl1xr1
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
pvalue,0.6514079
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
