analysis_id,9rc559u3pt9hawq
gene_symbol,Trpa1
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
parameter_id,ESLIM_011_001_010
parameter_name,PP4 + pulse startle magnitude
pvalue,0.4837174
mouse_strain,C57BL
