gene_symbol,Ubxn11
analysis_id,ne54v7p1s506dt8
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:1914836
pvalue,0.08070718
mouse_life_stage,Early adult
