analysis_id,q0ky0kq71ycch32
gene_symbol,Dnajc5b
parameter_id,IMPC_IMM_005_002
gene_accession_id,MGI:1913576
pvalue,0.6316544
mouse_life_stage,Early adult
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
