gene_symbol,Mecom
parameter_id,M-G-P_007_001_011
mouse_strain,C3H
parameter_name,center - resting time
pvalue,0.6223465
mouse_life_stage,Early adult
analysis_id,lt56j27o54xup65
gene_accession_id,MGI:95457
