analysis_id,mw12j9v5r17t6a3
parameter_id,IMPC_IMM_063_001
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_name,B Cells
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
pvalue,0.7212421
