parameter_id,MGP_CSD_064_001
mouse_life_stage,Early adult
analysis_id,5z989r0ha95zs55
gene_symbol,TUBB4B
mouse_strain,C57BL
parameter_name,Head morphology
pvalue,0.2724809
gene_accession_id,MGI:1915472
