analysis_id,1y721852hoxa6xh
gene_symbol,Secisbp2l
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
pvalue,0.4341431
