parameter_name,Edema
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
gene_accession_id,MGI:1276578
pvalue,0.106184
gene_symbol,Gfi1b
analysis_id,199xqf4u31f09r3
