analysis_id,316r75848hw05x2
gene_accession_id,MGI:2444113
parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
pvalue,0.7735073
mouse_life_stage,Early adult
gene_symbol,Nemp2
