analysis_id,7m3c035cgt6yw09
gene_symbol,Lcn2
pvalue,0.3857213
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:96757
mouse_strain,C57BL
