mouse_strain,B6J
pvalue,0.4929368
gene_symbol,Nr0b2
analysis_id,ra24399592572mk
mouse_life_stage,Early adult
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:1346344
