analysis_id,5sy72s93371m1ib
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
pvalue,0.6264107
gene_symbol,Opn3
parameter_id,MGP_IMM_041_001
