gene_symbol,Kcng1
mouse_strain,C57BL
gene_accession_id,MGI:3616086
pvalue,0.7157998
parameter_id,HRWLLA_GRS_010_001
analysis_id,f8x22xwxoc9v7nj
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
