analysis_id,9gsk5se44x7kt71
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
pvalue,0.7373113
gene_symbol,Sfpq
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
mouse_strain,C57BL
