analysis_id,d3q3wbw84u51u6n
pvalue,0.1551174
gene_symbol,Amigo1
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
