analysis_id,q9u22h864p08782
gene_symbol,Cntfr
gene_accession_id,MGI:99605
pvalue,0.6981262
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
