analysis_id,387vq269aievaa7
parameter_id,IMPC_GEL_060_001
pvalue,0.3547682
mouse_life_stage,Early adult
parameter_name,Neural tube morphology
mouse_strain,C57BL
gene_symbol,Extl1
gene_accession_id,MGI:1888742
