gene_symbol,Rnf114
gene_accession_id,MGI:1933159
pvalue,0.9791674
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
analysis_id,01n60482kty8d30
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
