parameter_name,Thyroxine
mouse_strain,C57BL
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:104640
gene_symbol,Rab17
analysis_id,tkrewgerl39n288
pvalue,0.4045651
mouse_life_stage,Early adult
