analysis_id,2030o86z1tw92e3
mouse_life_stage,Early adult
pvalue,0.08132202
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_id,IMPC_FEA_107_001
mouse_strain,129SV
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
