analysis_id,q8198ir06892b88
gene_accession_id,MGI:1915524
mouse_strain,C57BL
gene_symbol,Toporsl
mouse_life_stage,Early adult
pvalue,0.3990805
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
