analysis_id,z528z0istjn2r92
parameter_name,Pericardium Morphology
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
gene_symbol,Bpifa3
pvalue,0.302524
mouse_strain,129SV
