parameter_name,Eosinophil cell count
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2135738
pvalue,0.9879697
analysis_id,v84zdje6210x37r
parameter_id,IMPC_HEM_036_001
gene_symbol,Abo
