parameter_id,IMPC_OWT_004_001
analysis_id,wh977n5909um6te
mouse_life_stage,Early adult
parameter_name,Right kidney weight
gene_accession_id,MGI:1918764
mouse_strain,C57BL
gene_symbol,Sfpq
pvalue,0.8752773
