analysis_id,a42d3zfcnjy541h
gene_symbol,Rab13
parameter_name,Total holepokes
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1927232
pvalue,0.343108
parameter_id,JAXLA_HBD_001_001
