analysis_id,xbf9g863e0s2x45
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.8297462
gene_symbol,Dnajc5b
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
