gene_symbol,Slx4ip
parameter_id,MGP_IMM_028_001
analysis_id,uxetu2an43ypr74
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1921493
pvalue,0.6123823
mouse_life_stage,Early adult
