gene_symbol,Nanp
analysis_id,n957xtg666n84co
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:1914561
pvalue,0.1743479
parameter_name,Number of rears - total
mouse_life_stage,Early adult
