gene_symbol,Galk2
mouse_life_stage,Early adult
analysis_id,923905165ji1hz3
pvalue,0.2404594
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:1917226
