analysis_id,9j254h4dt5sgx3o
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_name,Weight
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:1923959
pvalue,0.4024165
mouse_strain,C57BL
