parameter_id,JAXLA_CSD_077_001
analysis_id,n9265g19xhqk05z
mouse_strain,C57BL
gene_symbol,Ntmt2
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
pvalue,0.4656662
parameter_name,Contact righting
