analysis_id,7ln823w78sz64q7
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
parameter_name,Heart looping
mouse_strain,C57BL
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
pvalue,0.08544228
