gene_symbol,DUOXA2
pvalue,0.248214
parameter_id,IMPC_EYE_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914061
analysis_id,3qjua1rl1314u00
parameter_name,Lens
