parameter_name,Midbrain
mouse_strain,C57BL
gene_symbol,Morn5
mouse_life_stage,Early adult
analysis_id,guf7u0cmh14sg1v
gene_accession_id,MGI:1922745
pvalue,0.9004873
parameter_id,IMPC_GEL_029_001
