analysis_id,2z032i61f3458v4
parameter_name,Creatinine
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
mouse_life_stage,Late adult
pvalue,0.3436348
gene_symbol,Slc30a4
