analysis_id,ag3p26q84fqz4pe
pvalue,0.2233096
gene_accession_id,MGI:1924315
parameter_id,IMPC_ECH_008_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Ints7
parameter_name,LVIDd
