analysis_id,6q11xp96q78h98t
parameter_name,Sodium
parameter_id,IMPC_CBC_001_001
pvalue,0.3703291
mouse_strain,C57BL
gene_symbol,Zmynd8
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
