gene_symbol,Sass6
mouse_life_stage,E9.5
parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.1556776
parameter_id,HMGULA_HWT_008_001
analysis_id,60n802qs37skwmr
gene_accession_id,MGI:1920026
