parameter_name,Whole arena average speed
pvalue,0.4953922
analysis_id,6u8oj6txxqwmq32
parameter_id,JAXLA_OFD_009_001
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_strain,C57BL
