analysis_id,89j75947u8q152v
pvalue,0.3985084
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
parameter_name,Center average speed
