analysis_id,39p5d652y8bpfbi
parameter_name,Total cholesterol
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_015_001
gene_accession_id,MGI:107414
pvalue,0.7565416
mouse_strain,C57BL
gene_symbol,Tnfsf10
