analysis_id,94n549z8a45ef8x
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
mouse_life_stage,E9.5
pvalue,0.2582718
gene_symbol,Wars2
parameter_name,Radius
gene_accession_id,MGI:1917810
