parameter_name,Cleft palate
analysis_id,m780343m5te385c
gene_symbol,Kcng1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
pvalue,0.1583588
gene_accession_id,MGI:3616086
