gene_symbol,Zcchc2
pvalue,0.7300486
gene_accession_id,MGI:2444114
mouse_strain,C57BL
analysis_id,ti2lf21i95xj9aw
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
parameter_name,Triglycerides
