parameter_name,Others
analysis_id,9015th5p1619710
mouse_life_stage,Early adult
gene_symbol,Bach2
mouse_strain,C57BL
gene_accession_id,MGI:894679
pvalue,4.252725e-08
parameter_id,IMPC_IMM_006_001
