parameter_id,IMPC_EYE_013_001
analysis_id,v6k037445sxc77t
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
parameter_name,Pupil Dilation
mouse_strain,C57BL
pvalue,0.1893373
gene_symbol,Fgb
