parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
pvalue,0.5750503
gene_accession_id,MGI:1915033
analysis_id,rh38b504mo0u6p2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ahctf1
