analysis_id,8y70n9g7a708it5
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
pvalue,0.5364733
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
