analysis_id,3j4w75o1t6ib7rv
mouse_strain,C57BL
pvalue,0.7946994
parameter_name,Mean-corpuscular-haemoglobin
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,M-G-P_016_001_006
mouse_life_stage,E12.5
