gene_symbol,Ahctf1
parameter_id,M-G-P_009_001_003
pvalue,0.943865
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Body weight
analysis_id,9zy80z56b1bvhxx
gene_accession_id,MGI:1915033
