gene_symbol,Bpifa3
parameter_id,IMPC_LDT_006_001
mouse_strain,129SV
analysis_id,od7yp8g316s779c
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
pvalue,0.5078239
parameter_name,Latency to first transition into dark
