parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2506907
parameter_name,Radius
gene_accession_id,MGI:107566
analysis_id,18b2b352v221sgo
gene_symbol,Kifap3
