analysis_id,37ope7n7ny75sl8
mouse_life_stage,Early adult
gene_symbol,Rhbg
parameter_id,MGP_MLN_033_001
parameter_name,Resting NK cells - % of NK cells
mouse_strain,C57BL
pvalue,0.1189705
gene_accession_id,MGI:1927379
