gene_symbol,S100a3
pvalue,0.5306291
mouse_strain,C53BL
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1338849
parameter_name,Limb morphology
analysis_id,4wbw3ipo8w6iac3
mouse_life_stage,Early adult
