gene_symbol,Stradb
analysis_id,m69w68zto0v48m8
parameter_id,IMPC_IMM_051_001
pvalue,0.80825
mouse_life_stage,Early adult
gene_accession_id,MGI:2144047
parameter_name,Monocytes
mouse_strain,C57BL
