gene_symbol,Tnfsf10
analysis_id,8ps0w5d6j590hz5
parameter_name,Startle response
mouse_strain,C57BL
gene_accession_id,MGI:107414
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Early adult
pvalue,0.1752582
