gene_symbol,Dhdds
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Ulna
analysis_id,1j2b7i7537792ev
pvalue,0.5642854
