mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.3683684
parameter_id,ESLIM_007_001_011
parameter_name,Centre resting time
gene_symbol,Cds2
analysis_id,58xn609c0kxag71
gene_accession_id,MGI:1332236
