parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
analysis_id,f7582888c58gy04
mouse_strain,C57BL
gene_symbol,Zmynd8
pvalue,0.4585751
