parameter_name,Thyroxine
gene_accession_id,MGI:95835
gene_symbol,Hspa5
parameter_id,IMPC_CBC_053_001
analysis_id,826sav0g0c107ow
pvalue,0.3415713
mouse_life_stage,Early adult
mouse_strain,C57BL
