parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4854408
gene_symbol,Bmi1
analysis_id,d3810w5984z3i5p
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:88174
