gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_id,HMGULA_HWT_008_001
analysis_id,7tt3o57fumuvh26
parameter_name,Heart weight
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3221208
