analysis_id,8q797155a3dgf2i
gene_symbol,Dmap1
parameter_name,Body Weight
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:1913483
pvalue,0.5369325
